Datum,Zápis,Částka,MD,DAL,Typ,Kód,Číslo,Popis
11.11.2025,456,"3 486,10",321000,221001,BV,fio_208_czk,182,Úhrada faktury dodavateli
11.11.2025,459,"134,74",563000,321000,ID,"",2025000019,FP 2025000058
14.11.2025,450,"13 991,00",321000,221001,BV,fio_208_czk,184,Úhrada faktury dodavateli
14.11.2025,453,"17 950,00",321000,221001,BV,fio_208_czk,183,Úhrada faktury dodavateli
18.11.2025,451,"48 890,63",321000,221001,BV,fio_208_czk,185,Úhrada faktury dodavateli
18.11.2025,511,"51 398,52",365000,221001,BV,fio_208_czk,186,Půjčka společníka
19.11.2025,464,"547 200,00",604000,602000,ID,"",2025000021,Přeúčtování z 604 na 602
20.11.2025,467,"209 880,55",221001,311000,BV,fio_208_czk,187,Přijatá úhrada odeslané faktury
20.11.2025,468,"60 396,00",343003,221001,BV,fio_208_czk,189,Úhrada DPH
20.11.2025,469,"150 000,00",221002,261000,BV,fio_641_czk,188,Převod mezi firemními účty
20.11.2025,470,"150 000,00",261000,221001,BV,fio_208_czk,190,Převod mezi firemními účty
26.11.2025,504,"78 000,00",518021,321000,FP,"",2025000063,"Konzultační služby v oblasti IT, Konzultační služby v oblasti IT - Neplacené opravy; pozn.: systém nepustí dál doklad s datem v budoucnu - PŘEDÁVÁM SPECIALISTOVI"
26.11.2025,505,"18 000,00",518021,321000,FP,"",2025000062,Konzultace v oblasti IT; pozn.: na faktuře uvedeno datum vystavení 30.11.2025 - systém s budoucím datem doklad nepustí - předávám specialistovi
28.11.2025,471,"169 738,80",221001,311000,BV,fio_208_czk,191,Přijatá úhrada odeslané faktury
28.11.2025,472,"36 691,20",311000,343001,FO,"",2025000015,DPH v základní sazbě
28.11.2025,473,"174 720,00",311000,602000,FO,"",2025000015,Poskytnuté služby
28.11.2025,512,"78 000,00",321000,221001,BV,fio_208_czk,192,Úhrada faktury dodavateli
28.11.2025,514,"18 000,00",321000,221001,BV,fio_208_czk,193,Úhrada faktury dodavateli
30.11.2025,486,"38 408,58",311000,343001,FO,"",2025000016,DPH v základní sazbě
30.11.2025,487,"56 628,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,488,"12 500,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,489,"13 132,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,490,"62 569,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,491,"4 069,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,492,"34 000,00",311000,602000,FO,"",2025000016,Poskytnuté služby
30.11.2025,497,"10 075,00",518023,321000,FP,"",2025000069,Reporty + Status cally
30.11.2025,498,"826,94",343001,321000,FP,"",2025000068,DPH v základní sazbě
30.11.2025,499,"3 937,80",501003,321000,FP,"",2025000068,Shell 01/11-30/11/2025
30.11.2025,500,"8 755,00",518021,321000,FP,"",2025000067,konzultantské služby 11/2025
30.11.2025,501,"8 085,84",343001,321000,FP,"",2025000066,DPH v základní sazbě
30.11.2025,502,"38 504,00",518021,321000,FP,"",2025000066,"Integrace, vývoj"
30.11.2025,507,"788,50",221002,662001,BV,fio_641_czk,194,Připsaný úrok na BÚ
30.11.2025,519,"71 911,00",343111,343003,ID,"",2025000023,DP
30.11.2025,520,"75 100,00",343001,343111,ID,"",2025000023,výstup 21%
30.11.2025,521,"3 189,00",343111,343001,ID,"",2025000023,vstup 21%
30.11.2025,522,"0,24",548000,343001,ID,"",2025000023,zaokrouhlení 21%
01.12.2025,474,"420,00",343001,321000,FP,"",2025000064,DPH v základní sazbě
01.12.2025,475,"2 000,00",518004,321000,FP,"",2025000064,Fakturujeme vám účetní služby za období prosinec 2025.
01.12.2025,503,"49 546,88",518022,321000,FP,"",2025000065,poradenství v oblasti projektového řízení
01.12.2025,516,"49 546,88",321000,221001,BV,fio_208_czk,195,Úhrada faktury dodavateli
02.12.2025,476,"100 000,00",261000,221002,BV,fio_641_czk,196,Převod mezi firemními účty
02.12.2025,477,"100 000,00",221001,261000,BV,fio_208_czk,197,Převod mezi firemními účty
02.12.2025,515,"46 589,84",321000,221001,BV,fio_208_czk,198,Úhrada faktury dodavateli
02.12.2025,518,"4 764,74",321000,221001,BV,fio_208_czk,199,Úhrada faktury dodavateli
03.12.2025,485,"2 420,00",321000,221001,BV,fio_208_czk,200,Úhrada faktury dodavateli
03.12.2025,513,"10 075,00",321000,221001,BV,fio_208_czk,201,Úhrada faktury dodavateli
03.12.2025,517,"8 755,00",321000,221001,BV,fio_208_czk,202,Úhrada faktury dodavateli
09.12.2025,495,"255,00",512000,321000,FP,"",2025000070,cesta Bolt
09.12.2025,496,"10,00",355999,321000,FP,"",2025000070,cesta Bolt
10.12.2025,493,"260,00",512000,321000,FP,"",2025000071,cesta Bolt
10.12.2025,494,"10,00",355999,321000,FP,"",2025000071,cesta Bolt
10.12.2025,510,"265,00",321000,221001,BV,fio_208_czk,204,Úhrada faktury dodavateli
10.12.2025,594,"-347,26",518020,321000,FP,"",2025000072,Online služby
11.12.2025,523,"51 099,95",261000,221002,BV,fio_641_czk,205,Převod mezi firemními účty
11.12.2025,524,"51 099,95",221001,261000,BV,fio_208_czk,206,Převod mezi firemními účty
11.12.2025,525,"71 911,00",343003,221001,BV,fio_208_czk,209,Úhrada DPH
11.12.2025,526,"270,00",321000,221001,BV,fio_208_czk,208,Úhrada faktury dodavateli
11.12.2025,600,"336,53",221001,321000,BV,fio_208_czk,207,Prijatá úhrada dobropisu od dodavatele
11.12.2025,607,"-10,73",321000,663000,ID,"",2025000026,FP 2025000072
12.12.2025,527,"31 726,80",311000,343001,FO,"",2025000017,DPH v základní sazbě
12.12.2025,528,"151 080,00",311000,602000,FO,"",2025000017,Poskytnuté služby
12.12.2025,591,"-5 000,00",314000,321000,FP,"",2025000074,voucher
12.12.2025,592,"5 000,00",314000,321000,FP,"",2025000074,voucher
13.12.2025,590,"5 000,00",314000,221001,BV,fio_208_czk,210,Úhrada přijaté zálohové faktury
14.12.2025,593,"88 000,00",518021,321000,FP,"",2025000073,"Konzultační služby v oblasti IT,"
16.12.2025,538,"9 786,00",331000,221001,BV,fio_208_czk,211,Výplata mezd zaměstnancům
16.12.2025,539,"9 786,00",331000,221001,BV,fio_208_czk,212,Výplata mezd zaměstnancům
16.12.2025,540,"9 786,00",527001,331000,ID,"",2025000024,stravné
16.12.2025,541,"9 786,00",527001,331000,ID,"",2025000024,stravné
17.12.2025,543,"125 000,00",221001,378000,BV,fio_208_czk,213,Ostatní pohledávky
18.12.2025,529,"221 306,58",221001,311000,BV,fio_208_czk,214,Přijatá úhrada odeslané faktury
18.12.2025,586,"686,79",343002,321000,FP,"",2025000075,DPH ve snížené sazbě
18.12.2025,587,"-6 410,00",314000,321000,FP,"",2025000075,pobyt 30.9.2026 - 1.10.2026
18.12.2025,588,"5 723,21",314000,321000,FP,"",2025000075,pobyt 30.9.2026 - 1.10.2026
19.12.2025,530,"210 000,00",221002,261000,BV,fio_641_czk,216,Převod mezi firemními účty
19.12.2025,531,"200 000,00",221002,261000,BV,fio_641_czk,217,Převod mezi firemními účty
19.12.2025,532,"210 000,00",261000,221001,BV,fio_208_czk,218,Převod mezi firemními účty
19.12.2025,533,"200 000,00",261000,221001,BV,fio_208_czk,219,Převod mezi firemními účty
19.12.2025,542,"125 000,00",221001,378000,BV,fio_208_czk,215,Ostatní pohledávky
19.12.2025,545,"250 000,00",378000,413000,ID,"",2025000025,příplatek mimo základní kapitál
19.12.2025,589,"6 410,00",314000,221001,BV,fio_208_czk,220,Úhrada přijaté zálohové faktury
22.12.2025,534,"211 411,20",221001,311000,BV,fio_208_czk,221,Přijatá úhrada odeslané faktury
23.12.2025,599,"88 000,00",321000,221001,BV,fio_208_czk,222,Úhrada faktury dodavateli
29.12.2025,585,"38 718,75",518022,321000,FP,"",2025000076,Poradentství v oblasti projektového řízení
30.12.2025,603,"38 718,75",321000,221001,BV,fio_208_czk,223,Úhrada faktury dodavateli
31.12.2025,553,"35 291,55",311000,343001,FO,"",2025000018,DPH v základní sazbě
31.12.2025,554,"44 280,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,555,"28 125,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,556,"17 080,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,557,"32 110,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,558,"4 940,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,559,"41 520,00",311000,602000,FO,"",2025000018,Poskytnuté služby
31.12.2025,576,"393,75",343001,321000,FP,"",2025000081,DPH v základní sazbě
31.12.2025,577,"1 875,00",518021,321000,FP,"",2025000081,"Antwell BI - Konzultační a vývojové služby -2025-12"
31.12.2025,578,"1 006,12",343001,321000,FP,"",2025000080,DPH v základní sazbě
31.12.2025,579,"4 742,04",501003,321000,FP,"",2025000080,Období a Místo čerpání 01/12-31/12/2025 Česká republika
31.12.2025,580,"49,00",518101,321000,FP,"",2025000080,Období a Místo čerpání 01/12-31/12/2025 Česká republika
31.12.2025,581,"15 475,00",518023,321000,FP,"",2025000079,reporty
31.12.2025,582,"4 147,92",343001,321000,FP,"",2025000078,DPH v základní sazbě
31.12.2025,583,"19 752,00",518021,321000,FP,"",2025000078,"Integrace, vývoj"
31.12.2025,584,"19 125,00",518021,321000,FP,"",2025000077,konzultantské služby 12/2025
31.12.2025,595,"1 127,42",221002,662001,BV,fio_641_czk,224,Připsaný úrok na BÚ
31.12.2025,608,"107 852,00",551000,082002,ID,"",2025000010,Odpis BMW X3 xDrive30D 1. rok - poměrná část roku
31.12.2025,609,"56 425,00",343111,343003,ID,"",2025000027,DP
31.12.2025,610,"67 018,00",343001,343111,ID,"",2025000027,výstup 21%
31.12.2025,611,"9 906,00",343111,343001,ID,"",2025000027,vstup 21%
31.12.2025,612,"687,00",343111,343002,ID,"",2025000027,vstup 12%
31.12.2025,613,"0,64",343001,648000,ID,"",2025000027,zaokrouhlení 21%
31.12.2025,614,"0,21",343002,648000,ID,"",2025000027,zaokrouhlení 12%
